yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,Unnamed: 0_export,rtLat,rtLon,ptLat,ptLon,mid,TradeValue_import,Unnamed: 0_import
2020.0,2020.0,Export,Azerbaijan,World,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1776335.0,,40.3936294,47.7872508,-36.8535712,174.7456809,68.02020.0Azerbaijan,50153301.0,
2020.0,2020.0,Export,Azerbaijan,World,69.0,Ceramic products,179267.0,,40.3936294,47.7872508,-36.8535712,174.7456809,69.02020.0Azerbaijan,86233270.0,
2020.0,2020.0,Export,Azerbaijan,World,70.0,Glass and glassware,888280.0,,40.3936294,47.7872508,-36.8535712,174.7456809,70.02020.0Azerbaijan,69563441.0,
2020.0,2020.0,Export,Azerbaijan,World,73.0,Iron or steel articles,22691371.0,,40.3936294,47.7872508,-36.8535712,174.7456809,73.02020.0Azerbaijan,571878743.0,
2020.0,2020.0,Export,Azerbaijan,World,74.0,Copper and articles thereof,28181089.0,,40.3936294,47.7872508,-36.8535712,174.7456809,74.02020.0Azerbaijan,24154064.0,
2020.0,2020.0,Export,Azerbaijan,World,75.0,Nickel and articles thereof,21192.0,,40.3936294,47.7872508,-36.8535712,174.7456809,75.02020.0Azerbaijan,2820449.0,
2020.0,2020.0,Export,Azerbaijan,World,76.0,Aluminium and articles thereof,113432781.0,,40.3936294,47.7872508,-36.8535712,174.7456809,76.02020.0Azerbaijan,92790072.0,
2020.0,2020.0,Export,Azerbaijan,World,78.0,Lead and articles thereof,10224906.0,,40.3936294,47.7872508,-36.8535712,174.7456809,78.02020.0Azerbaijan,242058.0,
2020.0,2020.0,Export,Azerbaijan,World,79.0,Zinc and articles thereof,500651.0,,40.3936294,47.7872508,-36.8535712,174.7456809,79.02020.0Azerbaijan,1241524.0,
2020.0,2020.0,Export,Azerbaijan,World,81.0,"Metals; n.e.c., cermets and articles thereof",5421.0,,40.3936294,47.7872508,-36.8535712,174.7456809,81.02020.0Azerbaijan,824776.0,
2020.0,2020.0,Export,Azerbaijan,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3447655.0,,40.3936294,47.7872508,-36.8535712,174.7456809,82.02020.0Azerbaijan,43151280.0,
2020.0,2020.0,Export,Azerbaijan,World,83.0,Metal; miscellaneous products of base metal,368003.0,,40.3936294,47.7872508,-36.8535712,174.7456809,83.02020.0Azerbaijan,53622726.0,
2020.0,2020.0,Export,Azerbaijan,World,84.0,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",49752490.0,,40.3936294,47.7872508,-36.8535712,174.7456809,84.02020.0Azerbaijan,1567478358.0,
2020.0,2020.0,Export,Azerbaijan,World,85.0,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",17423628.0,,40.3936294,47.7872508,-36.8535712,174.7456809,85.02020.0Azerbaijan,969194676.0,
2020.0,2020.0,Export,Azerbaijan,World,86.0,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",2283204.0,,40.3936294,47.7872508,-36.8535712,174.7456809,86.02020.0Azerbaijan,141440562.0,
2020.0,2020.0,Export,Azerbaijan,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1662959.0,,40.3936294,47.7872508,-36.8535712,174.7456809,87.02020.0Azerbaijan,810310637.0,
2020.0,2020.0,Export,Azerbaijan,World,89.0,"Ships, boats and floating structures",423367.0,,40.3936294,47.7872508,-36.8535712,174.7456809,89.02020.0Azerbaijan,76760132.0,
2020.0,2020.0,Export,Azerbaijan,World,91.0,Clocks and watches and parts thereof,167999.0,,40.3936294,47.7872508,-36.8535712,174.7456809,91.02020.0Azerbaijan,10458585.0,
2020.0,2020.0,Export,Azerbaijan,World,92.0,Musical instruments; parts and accessories of such articles,54365.0,,40.3936294,47.7872508,-36.8535712,174.7456809,92.02020.0Azerbaijan,1375536.0,
2020.0,2020.0,Export,Azerbaijan,World,94.0,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",3429332.0,,40.3936294,47.7872508,-36.8535712,174.7456809,94.02020.0Azerbaijan,143888686.0,
2020.0,2020.0,Export,Azerbaijan,World,95.0,"Toys, games and sports requisites; parts and accessories thereof",92466.0,,40.3936294,47.7872508,-36.8535712,174.7456809,95.02020.0Azerbaijan,31993810.0,
2020.0,2020.0,Export,Azerbaijan,World,96.0,Miscellaneous manufactured articles,97718.0,,40.3936294,47.7872508,-36.8535712,174.7456809,96.02020.0Azerbaijan,68407157.0,
2020.0,2020.0,Export,Azerbaijan,World,97.0,Works of art; collectors' pieces and antiques,115297.0,,40.3936294,47.7872508,-36.8535712,174.7456809,97.02020.0Azerbaijan,614868.0,
2020.0,2020.0,Export,Azerbaijan,World,99.0,Commodities not specified according to kind,2530238.0,,40.3936294,47.7872508,-36.8535712,174.7456809,99.02020.0Azerbaijan,524413541.0,
