yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Import,Saudi Arabia,Finland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",377948,,,63.2467777,25.9209164
2018,2018,Import,Saudi Arabia,France,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",12522735,,,46.603354,1.8883335
2018,2018,Import,Saudi Arabia,Djibouti,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4726,,,11.8145966,42.8453061
2018,2018,Import,Saudi Arabia,Gambia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5430,,,13.470062,-15.4900464
2018,2018,Import,Saudi Arabia,Germany,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",32148146,,,51.1638175,10.4478313
2018,2018,Import,Saudi Arabia,Ghana,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4128,,,8.0300284,-1.0800271
2018,2018,Import,Saudi Arabia,Greece,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",461734,,,38.9953683,21.9877132
2018,2018,Import,Saudi Arabia,Guinea,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3201,,,10.7226226,-10.7083587
2018,2018,Import,Saudi Arabia,"China, Hong Kong SAR",82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",286766,,,22.350627,114.1849161
2018,2018,Import,Saudi Arabia,Hungary,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",417427,,,47.1817585,19.5060937
2018,2018,Import,Saudi Arabia,Indonesia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",588752,,,-2.4833826,117.8902853
2018,2018,Import,Saudi Arabia,Iraq,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",91300,,,33.0955793,44.1749775
2018,2018,Import,Saudi Arabia,Ireland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2117286,,,52.865196,-7.9794599
2018,2018,Import,Saudi Arabia,Italy,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",34904051,,,42.6384261,12.674297
2018,2018,Import,Saudi Arabia,Japan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",14646956,,,36.5748441,139.2394179
2018,2018,Import,Saudi Arabia,Jordan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",134082,,,31.1667049,36.941628
2018,2018,Import,Saudi Arabia,Dem. People's Rep. of Korea,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8550,,,,
2018,2018,Import,Saudi Arabia,Rep. of Korea,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5829199,,,,
2018,2018,Import,Saudi Arabia,Kuwait,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",42574,,,29.2733964,47.4979476
2018,2018,Import,Saudi Arabia,Lebanon,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",441042,,,33.8750629,35.843409
2018,2018,Import,Saudi Arabia,Lithuania,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3156,,,55.3500003,23.7499997
2018,2018,Import,Saudi Arabia,Luxembourg,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",120533,,,,
2018,2018,Import,Saudi Arabia,Malaysia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",180621,,,4.5693754,102.2656823
2018,2018,Import,Saudi Arabia,Malta,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",34073,,,35.8885993,14.4476911
2018,2018,Import,Saudi Arabia,Mexico,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",11687438,,,23.6585116,-102.0077097
2018,2018,Import,Saudi Arabia,"Other Asia, nes",82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",7277117,,,,
2018,2018,Import,Saudi Arabia,Morocco,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",81940,,,31.1728205,-7.3362482
2018,2018,Import,Saudi Arabia,Oman,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",142560,,,21.0000287,57.0036901
2018,2018,Import,Saudi Arabia,Netherlands,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1991960,,,52.2434979,5.6343227
2018,2018,Import,Saudi Arabia,New Zealand,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",105731,,,-41.5000831,172.8344077
2018,2018,Import,Saudi Arabia,Nicaragua,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",17179,,,,
2018,2018,Import,Saudi Arabia,"Other Europe, nes",82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1602965,,,,
2018,2018,Import,Saudi Arabia,Norway,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",604343,,,60.5000209,9.0999715
2018,2018,Import,Saudi Arabia,Pakistan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5756942,,,30.3308401,71.247499
2018,2018,Import,Saudi Arabia,Poland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",35903523,,,52.215933,19.134422
2018,2018,Import,Saudi Arabia,Portugal,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",726233,,,39.6621648,-8.1353519
2018,2018,Import,Saudi Arabia,Romania,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",252620,,,45.9852129,24.6859225
