yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Import,Oman,Romania,1,Animals; live,1501950,,,45.9852129,24.6859225
2019,2019,Import,Oman,Russian Federation,1,Animals; live,6585,,,64.6863136,97.7453061
2019,2019,Import,Oman,Saudi Arabia,1,Animals; live,139258,,,25.6242618,42.3528328
2019,2019,Import,Oman,India,1,Animals; live,777097,,,22.3511148,78.6677428
2019,2019,Import,Oman,Slovakia,1,Animals; live,4039,,,48.7411522,19.4528646
2019,2019,Import,Oman,Somalia,1,Animals; live,162694453,,,8.3676771,49.083416
2019,2019,Import,Oman,South Africa,1,Animals; live,1394,,,-28.8166236,24.991639
2019,2019,Import,Oman,Sudan,1,Animals; live,2268631,,,14.5844444,29.4917691
2019,2019,Import,Oman,Switzerland,1,Animals; live,30746,,,46.7985624,8.2319736
2019,2019,Import,Oman,Syria,1,Animals; live,6262,,,34.6401861,39.0494106
2019,2019,Import,Oman,Thailand,1,Animals; live,31274,,,14.8971921,100.83273
2019,2019,Import,Oman,Togo,1,Animals; live,1414,,,8.7800265,1.0199765
2019,2019,Import,Oman,United Arab Emirates,1,Animals; live,6160699,,,24.0002488,53.9994829
2019,2019,Import,Oman,Turkey,1,Animals; live,558954,,,38.9597594,34.9249653
2019,2019,Import,Oman,Ukraine,1,Animals; live,27092,,,49.4871968,31.2718321
2019,2019,Import,Oman,Egypt,1,Animals; live,15511,,,26.2540493,29.2675469
2019,2019,Import,Oman,United Kingdom,1,Animals; live,3226041,,,54.7023545,-3.2765753
2019,2019,Import,Oman,Free Zones,1,Animals; live,349362,,,,
2019,2019,Import,Oman,USA,1,Animals; live,15430,,,,
2019,2019,Import,Oman,Uzbekistan,1,Animals; live,8101,,,41.32373,63.9528098
2019,2019,Import,Oman,Yemen,1,Animals; live,125162,,,16.3471243,47.8915271
2021,2021,Import,Oman,World,1,Animals; live,346605375,,,-36.8535712,174.7456809
2021,2021,Import,Oman,Australia,1,Animals; live,7840182,,,-24.7761086,134.755
2021,2021,Import,Oman,Bahrain,1,Animals; live,39846,,,26.1551249,50.5344606
2021,2021,Import,Oman,Belgium,1,Animals; live,1560,,,50.6402809,4.6667145
2021,2021,Import,Oman,Cyprus,1,Animals; live,130,,,34.9823018,33.1451285
